model,gyration
333,45.55267505925828
334,35.43333634292908
335,29.53403910432313
336,24.47051035441018
337,20.950213477158325
338,35.750215730035286
339,29.893950969751558
340,27.02898785580001
341,25.32413494589447
342,36.6915346026349
343,31.112466913762177
344,19.10831439691969
345,33.76727310203078
346,22.302180003490395
347,28.983358295399785
348,26.769905396885616
349,36.7722307946889
350,34.92860525864216
351,23.23433177969776
352,29.813521836399257
353,27.66302309227674
354,30.13259427828863
355,25.871974177846408
356,43.35007705993917
357,28.65196644715542
358,30.33735006664083
359,21.847724375892625
360,42.28105515351131
361,27.280717923173388
362,35.6294569442383
363,35.03272692399292
364,28.36267901632312
365,42.6658524354812
366,27.970541052343453
367,26.46794934632418
368,24.34316308600787
369,37.92175592218433
370,27.11859918680398
371,27.931070032549417
372,48.81176378184999
373,24.03112351916353
374,22.799191795157554
375,27.138697973140854
376,28.918108352251643
377,26.55456654580776
378,27.85672325343764
379,35.31708473701803
380,23.44068650535709
381,26.314341493888715
382,46.00397050641904
383,34.07944587505636
384,32.70090021555294
385,40.93981390301241
386,27.66642902327868
387,31.97842772055174
388,34.31693123867745
389,37.4965250342107
390,34.86092388890995
391,38.26547261760142
392,39.431286764705774
393,25.62756242537149
394,27.933654602717045
395,26.458725757209965
396,27.96122615478597
397,25.39474203251285
398,27.85133119023948
399,20.753757997752263
400,38.104805789285
401,36.74312048936325
402,49.25505954766707
403,29.635152565592968
404,33.29756129659306
405,23.25454111090969
406,31.84874449155616
407,32.26013084494307
408,34.80878846570651
409,22.83546413253947
410,28.65705354902824
411,28.14435991618989
412,25.363103045375336
413,31.50209837279889
414,32.58205386976629
415,40.75547918171226
416,26.15901497562464
417,29.897405756597344
418,38.13471656138341
419,38.01957786458762
420,28.615947173895822
421,30.54297575469256
422,33.81102566116565
423,38.832721451794
424,40.88609603548496
425,29.80016007965665
426,36.5267135710479
427,20.91635363212926
428,32.69160932002895
429,32.80638424164549
430,40.416224748493455
431,23.6203219469629
432,30.073465483825828
433,26.64128602072604
434,39.44762411911631
435,36.18483792301862
436,29.747026279033808
437,24.609830329626167
438,29.72452544090294
439,25.96050078408305
440,36.98702330010418
441,40.031698394262726
442,22.120626292012936
443,23.98571820046272
444,32.0867180762027
445,24.46424649637926
446,30.944429006401435
447,32.629109407884506
448,33.62576687708555
449,39.90960802854061
450,31.418932081925394
451,27.494399190952045
452,24.646458907425743
453,29.7086830748015
454,26.23872624667151
455,29.28003479688665
456,31.62627855676874
457,29.16301991028684
458,29.67770430287074
459,31.36601255171449
460,35.16847399118024
461,29.287131296154257
462,27.356600742012866
463,31.75475362118001
464,28.438942794019653
465,35.134056395106555
466,23.550912046810232
467,41.67384470807052
468,34.329653464132505
469,32.793923747798594
470,21.69165506709801
471,26.05054023746574
472,25.955724943855923
473,27.14619208486964
474,25.221140591449707
475,24.419519278578285
476,34.51364865035848
477,42.76125723003938
478,35.28953974606696
479,31.866119064291595
480,23.98751367418232
481,23.21134872141066
482,31.220833098373436
483,39.49400642448614
484,38.96013541023179
485,23.469564786631
486,22.91661762145776
487,30.25335730075613
488,24.200855092388306
489,29.90607933869257
490,28.452057776262
491,26.89456944502758
